review_text,review_posted_date,review_header,review_rating,review_author
This range phone id great for values Nd i love this camera and processor,07 Jul 2019,Best PHONE ever,5.0 ,Aman verma
"There is no Pros Cons: 1)Battery is not good. It will be drained of within an hour if charged fully(observed for 8 days from the date of delivery) 2) Phone gets hanged frequently. Need to switch it off and On frequently 3) Sound clarity is not good( no proper voice on either side). observed by the technical person visited and suggested for replacement. Today got the replaced mobile . will observer for some days. 23/10/2018: Again Battery is not charging properly and getting drained out very fast. phone is getting hanged and need to switch off and Switch on frequently. Contacted Customer care and they have told to wait till 29th (for 6 days) for technician to visit the product and not provided immediate resolution. After conversation, hey have agreed to provide resolution within 24 hours(not the technician visit)",17 Oct 2018,Redmi 6A - Think before buy,1.0 ,Venkat
Worth full product,29 Oct 2018,As per expected,5.0 ,scp2236
"Bought 6A and used for few days. I was dissapointed with the Speaker function. I have redmi 5A and its speaker is loud and clear. Far Far better than 6A. When compared to 6A , i give 5 out of 5 to 5A. Ofcourse the camera clarity and other functions are good. If some one really wish to know which is better, 6A or 5A then i suggest to go for 5A only.",30 Oct 2018,Redmi 6 A - Speaker is not loud,2.0 ,Ram
Overall a good phone. Best for mid range phone lover. Ram iS only 2gb this ia only reason to hate this phone. Process ia not so smooth. U can't able to play games smoothly. Usable of old age peplole,20 Jun 2019,Suggested for who use phone less,4.0 ,ADITYA SHEKHAR
Totally a waste product ... Poor Touch screen ... Hanging several times. Amazon team is also not responding on my new device....10 days returns policy is just a foolish term at all.,02 Oct 2018,Not good for muktitasking.. touch is not good...too much hanging problem,1.0 ,Ashish
Good phone value for money,24 Oct 2018,Superb,5.0 ,Yashan Sales Corporation
Nice phone..,20 Sep 2018,Good,5.0 ,Pieush Goyal
"To say in short, its one of the best devices out there in it's price bracket. I have got three of them for my family, different colours, configs etc. Its a budget device and we must expect similar performance from it. But still a good to go for a casual user. ••••••••••••••• INSIDE BOX ••••••••••••••• 1. Device 2. USB cable 3. Charger 4. SIM ejector tool 5. Few guides (No earphones, as is with every budget & midrange device) ••••••••••••••••••• ABOUT DEVICE ••••••••••••••••••• As for trend goes, MI phones are value for money always. This one's no exception. ▶ Screen 9/10 ▶ Camera 8/10 (samples included) ▶ Battery 9/10 (1 day 23 hour 14 min on battery, 100% to 4%; 6hrs 50min SOT) ▶ Performance 7/10 ▶ Build 8/10 ▶ Sound 8/10 Overall 8.1/10 •••••••• PROS •••••••• 1. Low price bracket i.e. Budget friendly. 2. Refreshing looks with rounded corner display & body. 3. Light, slim phone with good build quality. 4. Reasonable features & performance. 5. Nice 5.45 in HD display (1440 x 720 pixels resolution), 295 PPI and 18:9 aspect ratio. Good sunlight legibility. 6. Full screen gestures which removes on screen buttons for back, recents, home and increases screen area. 7. No hybrid slot. Instead three separate slots, so 2 SIM and extra memory at same time. 8. Dual 4g standby (enable it in settings - SIM cards & mobile network). 9. Android Oreo 8.1/MIUI 10.2.1 out of box. Periodic security & bug fixing updates are provided. 10. Plethora of sensors (except IR in specific). 11. Pretty decent camera (samples attached) 12. 32gb internal is quite sufficient 13. Face unlock works good. Low light unlocking may not work properly. •••••••• CONS •••••••• 1. Performance may be a issue as its budget device with mediocre hardware. But what to expect from extremely low budget device. 3. Helio vs Qualcomm, & it will really matter in this device. 4. Too many preloaded apps, though you can get rid of max off them & techies will be able to remove stubborn ones too via adb. 2. No IR blaster in 6A, i do use it a lot. It's one the key features for me. 5. No fingerprint reader •••••••••••••••••••••••••••••••••••••••••••••••••••• BATTERY BACKUP (screenshots attached) •••••••••••••••••••••••••••••••••••••••••••••••••••• Device status: Locked bootloader, max apps restricted for notification access & autostart, screen brightness medium, and location off. Sim 1, 2g mode (50% 3g, only during data usage) Sim 2, 2g mode WiFi on (60%, data on standby) Data on (40%, WiFi on standby) Night time: Data & Wifi off ▶ 1 day 23 hr 14 min on battery, 100% to 4% (Awesome, right?) ▶ SOT (Screen on time) 6hrs 50min (Impressive) ••••••••••••••••••• FINAL VERDICT ••••••••••••••••••• ▶ Having already purchased 3 of Redmi 6A series device, i would suggest you to go for it if in tight budget and you cant shell out extra. You get a new device with current day trend of screen & camera, AI and looks, all with ok performace. Just some tweaks here and there & it will be good to go. P.S. Its not at all meant for gaming. Though cassual games will be ok. ▶ Already using 2 of 16 gb versions, my suggestion will be to get 32 gb internal, as sooner or later 16 gb runs out of space and you need to uninstall things to install others. Current apps n content consume a lot of space. ▶ Even after launch of Redmi 7 series, 6A is still in shelves for a reason. It offers quice decent feature set & performance in its price bracket. None of the current devices can beat its price point. Available frequently on sale for 500 less. ▶ BUT be open to other options available out there, you may shell out few bucks extra to avoid cons.",18 Apr 2019,Best you can find in this range | Budget Friendly Device | Review,4.0 ,Pushpendra Singh Patel
"I already have 3 Redmi 5A gifted at home, this Diwali bought Redmi 6A to gift my father and what I found is 6A is not value for the money, neither it has better sound nor it has good battery backup. Phone hangs while dialling or not using for some time. Phone hangs while taking pictures. Battery drains out fast. Lots of inbuilt app, want to remove them. Redmi 5A is better than this phone, If company has Redmi 5A I would like to exchange it with Redmi 6A",13 Nov 2018,5A is better than 6A - Bad Experience,2.0 ,Deepak Mathur
"• Phone looks handy and light weight. • But it lags heavily in the 1st day itself while browsing(in YouTube sound start to play before video appear). I don't know when Mi going to fix this issue. • battery condition is better. • camera condition is better. • sound quality is average not upto redmi note series sound level. • network works perfectly. • file transfer takes very long. If your looking for budget phone with better experience,please go for previous version of Mi.",30 Oct 2018,Not upto expectation,1.0 ,Goutham
"Hello to everyone, I have bought this phone on 3rd December 2018. I want a phone which is easy to hold, easy to use and also cheap in price. I also have a confusing if getting a brst mobile in cheap price, I have searched many times in the youtubr and the other sources then I git this mobile phone. I get impresses by its face lock features. My Father has redmi note 3 which has fingerprint lock system but the problem is that system do nit work if out hands are wet or any thing is puy on our hand. Facr lock is easy and best method to unlock any device easily. I have the problem with its speed. This mobile has also the great disadvantage of getting hanged many times and also need to improve its speed. Many softwares fo not work with it fully so we have to make yhis sure to choose the right software for this mobile phone. Overall I like this mobile system, its look and many more.",11 Jun 2019,Good phone with minor issues,3.0 ,Sonu
Gyroscope and irblaster missing this phone,29 Sep 2018,Gyroscope,4.0 ,Abdul Asad
